,Species,Country.of.Origin,Aroma,Flavor,Aftertaste,Acidity,Sweetness,Body
0,Arabica,Brazil,-0.41524903820539105,-0.3926386783128599,-0.5396897629222949,-0.46130718011919397,2.2335965522338155,-0.4247118926740764
1,Arabica,Burundi,-0.39617224343715896,-0.3504600615021022,-0.563783577199034,-0.39617224343715896,2.2297386521655507,-0.5231505265900946
2,Arabica,China,-0.37694247719633517,-0.39486367262563804,-0.5568712793065362,-0.44934410673071906,2.23238357731016,-0.45436204145092335
3,Arabica,Colombia,-0.37396888989179383,-0.4374227659043376,-0.519528610892188,-0.4794981387282567,2.233774735406378,-0.4233563299898029
4,Arabica,Costa Rica,-0.3313846618736578,-0.4851093879079865,-0.4882558003855884,-0.44308230597471177,2.2327168007927556,-0.48488464465081194
5,Arabica,Cote d?Ivoire,-0.20312811956105772,-0.36128894547882817,-0.7520392212756728,-0.5938783953579024,2.1971950031909886,-0.28686032151752433
6,Arabica,Ecuador,-0.6250633921386661,-0.48555252486234307,-0.698922086144608,-0.3542481807835394,2.181566980087184,-0.017780796158033643
7,Arabica,El Salvador,-0.37810165496063913,-0.4031659482662653,-0.5098349145470649,-0.481273279128161,2.233830797118656,-0.4614550002165228
8,Arabica,Ethiopia,-0.525722711329432,-0.36784674851391974,-0.5292239927543704,-0.319465404550911,2.229149174110438,-0.48689031696180113
9,Arabica,Guatemala,-0.3661014963700958,-0.428238364039574,-0.6753722388112596,-0.30875856965668164,2.221459625351924,-0.44298895647431596
10,Arabica,Haiti,-0.4175543555262728,-0.626518777095167,-0.47372758623204275,-0.4535052228544071,2.222587530785944,-0.2512815890780588
11,Arabica,Honduras,-0.3293674356150322,-0.39232675876776824,-0.5787597062967862,-0.3929380142500655,2.2277183391192774,-0.5343264241896298
12,Arabica,India,0.8373231090315117,0.38394328163423497,0.0857745603430245,0.4860558508389274,0.3880277805139755,-2.181124582361664
13,Arabica,Indonesia,-0.33807781017752403,-0.42220522160505475,-0.5965482123923733,-0.5129742707768655,2.2272547685501527,-0.3574492535983372
14,Arabica,Japan,-0.436098108223302,-0.436098108223302,-0.436098108223302,-0.8198644434598078,2.18049054111651,-0.05233177298679616
15,Arabica,Kenya,-0.43197570720580863,-0.43733681978113503,-0.5216524993748981,-0.3354756808499425,2.232009868860701,-0.5055691616489199
16,Arabica,Laos,-0.33005644907634996,-0.3334708257913789,-0.558819711518206,-0.5315046947250319,2.227311966558932,-0.47346028544796703
17,Arabica,Malawi,-0.265317436054121,-0.4496432336799286,-0.582767420854123,-0.42823165103434185,2.22587364728911,-0.49991390566660077
18,Arabica,Mauritius,-0.416101438766614,-0.416101438766614,-0.4932167633256775,-0.4932167633256775,2.234737842951192,-0.416101438766614
19,Arabica,Mexico,-0.36056991922745685,-0.4415115138740108,-0.5970643203693231,-0.3906938135484968,2.2298667150443663,-0.44002714802507703
20,Arabica,Myanmar,-0.4296311447838162,-0.40129027576844056,-0.6058374173576758,-0.328589785685519,2.2282494841799276,-0.4629008605844754
21,Arabica,Nicaragua,-0.41846509120061876,-0.43155704092310465,-0.5538849492007863,-0.4851522110302903,2.2314274234000906,-0.3423681310452931
22,Arabica,Panama,-0.41215058649014247,-0.4603608615153661,-0.4830480497625294,-0.3696121085267107,2.2337427428353362,-0.5085711365405896
23,Arabica,Rwanda,-0.507972641053868,-0.3446957207151246,-0.6531076813549735,-0.507972641053868,2.2133093645918596,-0.199560680414019
24,Arabica,Peru,-0.42766504948587236,-0.4704111991251067,-0.6133054707762645,-0.420337138119146,2.2262601838300755,-0.29454132632368263
25,Arabica,Philippines,-0.37223873781038475,-0.5097448387179517,-0.4368249367215151,-0.47432660060539666,2.234126902119413,-0.44099178826416824
26,Arabica,Rwanda,-0.4202158041411553,-0.2615329130668731,-0.561267262873851,-0.4202158041411553,2.2244990470968857,-0.561267262873851
27,Arabica,Taiwan,-0.3592913062009859,-0.4339609383286997,-0.5066393799107707,-0.485305199302853,2.2336650048853843,-0.44846818114208337
28,Arabica,"Tanzania, United Republic Of",-0.35060491237441965,-0.5011301061068502,-0.5061830719741938,-0.4263994003845659,2.233056319269688,-0.44873882842966156
29,Arabica,Thailand,-0.49408949416483033,-0.4455074727720542,-0.5058043078340105,-0.3693611839223835,2.233739324038072,-0.4189768653447941
30,Arabica,Uganda,-0.19434402359683503,-0.40855035198206224,-0.6209452105424821,-0.4805562852621811,2.2171754207427656,-0.5127795493592068
31,Arabica,United States,-0.5725710404224508,-0.307079552860464,-0.545685826492123,-0.40285812748725713,2.226851860072923,-0.39865731281064276
32,Arabica,United States (Hawaii),-0.45452401704198286,-0.449390818880133,-0.5446204887079301,-0.3989438745910012,2.233147561680958,-0.38566836245991093
33,Arabica,United States (Puerto Rico),-0.3738682112615501,-0.5019664828491729,-0.5734631925724969,-0.4274907435540434,2.229803634496179,-0.3530150042589138
34,Arabica,Vietnam,-0.4471159691310966,-0.46071727577556815,-0.6753156694994455,-0.4758298387138696,2.209672595422255,-0.15069384230227725
35,Arabica,Zambia,-0.21015327025270622,-0.814984633419031,-0.46643774617064054,-0.5587001575010967,2.1784180453024415,-0.12814223795896715
36,Robusta,Ecuador,0.35510098323982625,0.35510098323982625,0.2682417499293652,0.39597591656239617,0.8251627164493811,-2.199582349420793
37,Robusta,India,0.6518230719983762,-0.7959762457417746,-1.8677238005764991,0.9150593182538516,0.4637971783239686,0.6330204777422511
38,Robusta,Uganda,1.5278312202438333,0.17920883100274942,-1.3516598270546938,-0.5862254980259721,-0.7320225130790627,0.9628677869131134
39,Robusta,United States,1.7346030362246991,-0.37708761657059336,-1.583767989596476,-0.326809267694516,0.47764431432273907,0.07541752331411153
40,Robusta,Vietnam,0.2003132343344517,-0.40062646866891005,-1.677623337551052,0.8012529373378134,-0.40062646866891005,1.4773101032165936
